,c_bound_S,c_bound_T,c_bound_joint,c_bound_mcallester,c_bound_seeger,dS,dT,eS,eT,joint_bound,nb_per_attribute,nb_tree,prior,rS,rT,risk_bound,voter,zero_one_S,zero_one_T,max-iteration,mu
letter_o_q--cb-boost,0.0712214882959122,0.0711919990495463,0.2487486335837742,0.5179914927630251,0.3547878159383724,0.0921752171293767,0.0786594938030965,0.0187234124442184,0.0183217291491804,0.2283506774349868,10.0,100.0,0.5,0.0648110210089068,0.0576514760507287,0.2300995371286907,1.0,0.0107361963190184,0.0171673819742489,,
letter_o_q--mincq,0.1137816290908182,0.1571077174809778,0.999999999589735,1.0,1.0,0.4999999943580497,0.4999999949065478,0.2499500028209755,0.2499536709615823,1.3201504214708657,10.0,100.0,0.5,0.4999500000000003,0.4999536684148562,1.1730635569000625,1.0,0.0153374233128834,0.03862660944206,,
mnist_1_7--bound-joint,0.0163949585431985,0.018606235562232,0.0382340388215644,0.1637700107955552,0.0618768190714803,0.0239604531505277,0.0248438485176164,0.0041629256825799,0.0047140761517324,0.0340483219525228,10.0,100.0,0.5,0.0161431522578438,0.0171360004105407,0.0469309320986551,1.0,0.0038437884378843,0.0055478502080443,,
mnist_1_7--bound-risk,0.0212416986578505,0.0236550862958131,0.0482815656699806,0.1637502367619198,0.0661376026136829,0.0174172969104942,0.0203418964591791,0.0053223058571764,0.0059324978928917,0.044134771151208,10.0,100.0,0.5,0.0140309543124235,0.0161034461224813,0.0431999172481436,1.0,0.0050738007380073,0.0055478502080443,,
mnist_1_7--c-bound-joint,0.0161528695464096,0.0186979647520411,0.0381406499303652,0.1638586482761144,0.0618323233050623,0.0237761416880002,0.0246285130730208,0.0041018691087947,0.0047349138647129,0.0339988173590632,10.0,100.0,0.5,0.0159899399527949,0.0170491704012233,0.0466828809363509,1.0,0.0039975399753997,0.0046232085067036,,
mnist_1_7--c-bound-mcallester,0.0174056844027681,0.0198899146084983,0.0400140283892506,0.1613423749923755,0.0617337505368894,0.021637800797221,0.0237546462327096,0.0043945601155858,0.0050218207737823,0.0357845871638388,10.0,100.0,0.5,0.0152134605141963,0.0168991438901371,0.0448793135124235,1.0,0.0046125461254612,0.0055478502080443,,
mnist_1_7--c-bound-seeger,0.0165055854294295,0.0190845080098878,0.038671575394451,0.1620344373295361,0.0613279277700915,0.0225394193069481,0.024080941487271,0.0041790472931015,0.0048258120369571,0.0345024630736304,10.0,100.0,0.5,0.0154487569465755,0.0168662827805926,0.0454142257315556,1.0,0.0041512915129151,0.005085529357374,,
mnist_1_7--cb-boost,0.0156870325483893,0.0182946373567971,0.0402250695308727,0.1691293919387884,0.0647222025273184,0.0231731677668609,0.0242161571537798,0.0039823920295729,0.0046323897110469,0.0363499926585058,10.0,100.0,0.5,0.0155689759130034,0.0167404682879368,0.0469092060937742,1.0,0.003690036900369,0.0046232085067036,,
mnist_1_7--mincq,0.0063145923237383,0.0578589412589229,0.9941590131668122,1.0,1.0,0.4651413767280626,0.4677752868014229,0.1358266800570214,0.1429047565688217,1.044991045075044,10.0,100.0,0.5,0.3683973684210527,0.3767923999695331,1.0409350681202734,1.0,0.0,0.015256588072122,,0.2632052631578947
mnist_4_9--bound-joint,0.0666759148271615,0.071115756828285,0.110544161296843,0.239217598160174,0.1673386328437918,0.1065867645562533,0.1044023447757465,0.0182313861941796,0.0191588688043379,0.1062774628267661,10.0,100.0,0.5,0.0715247684723063,0.0713600411922112,0.1722991445734636,1.0,0.0135685210312075,0.0155700652938222,,
mnist_4_9--bound-risk,0.2170659551425771,0.2367928885146273,0.2920351811191456,0.3317922992514804,0.2764289471139455,0.0002159809358728,0.0002224285214751,0.0575697720168238,0.0631773268139787,0.308406616100298,10.0,100.0,0.5,0.0576777624847602,0.0632885410747163,0.1484039104412532,1.0,0.0576662143826322,0.0632847815168257,,
mnist_4_9--c-bound-joint,0.0663127992899428,0.0714608564764709,0.1101772586550139,0.2390621162699723,0.1673793531567055,0.1074648453395132,0.1053210684844829,0.0181875323998359,0.0192770654957174,0.1060406863115586,10.0,100.0,0.5,0.0719199550695926,0.0719375997379588,0.1731462951386865,1.0,0.0133989145183175,0.0155700652938222,,
mnist_4_9--c-bound-mcallester,0.0677596018218982,0.0710054517975707,0.1110675407469173,0.2378890194659563,0.1677506845898956,0.1087217627789115,0.1064351183307352,0.0185762545814804,0.0192197966322412,0.1068470089273331,10.0,100.0,0.5,0.0729371359709362,0.0724373557976088,0.1749024591659508,1.0,0.0147557666214382,0.0170768458061275,,
mnist_4_9--c-bound-seeger,0.0671829285507324,0.0714569711306046,0.111053644303064,0.2394925785809738,0.1665518269788293,0.1031956142116868,0.10122040160524,0.0182011322903503,0.0191084864816222,0.1064082541458706,10.0,100.0,0.5,0.0697989393961937,0.0697186872842422,0.1686635276004578,1.0,0.0142469470827679,0.0160723254645906,,
mnist_4_9--cb-boost,0.065949645532373,0.0725926245536691,0.1134164960151019,0.2490633421939494,0.1732801816959667,0.1070154654079302,0.1050890788069469,0.0180839668185475,0.0195283050205207,0.109486585483556,10.0,100.0,0.5,0.0715916995225126,0.0720728444239941,0.1741734847360719,1.0,0.014416553595658,0.0160723254645906,,
mnist_4_9--mincq,0.1398306018737963,0.1860911398326123,0.96003446759324,1.0,0.9999911797697272,0.4420194080593659,0.4416792617588471,0.1210771380755801,0.125102319045325,0.9705640241213668,10.0,100.0,0.5,0.3420868421052631,0.3459419499247486,0.9868451520654372,1.0,0.015,0.0462079357106981,,0.3158263157894737
mnist_5_6--bound-joint,0.0428536728633669,0.047768606015755,0.0784358380220946,0.2114740100635393,0.1244563334250431,0.0699490124079621,0.070695880226095,0.0113616737402419,0.0125476137600177,0.0731812721764831,10.0,100.0,0.5,0.046336179944223,0.0478955538730653,0.1173434768374052,1.0,0.009700176366843,0.0108108108108108,,
mnist_5_6--bound-risk,0.0974894626931411,0.0927108192052637,0.154535325129962,0.2725473197486906,0.1733873894181713,0.0323233260137656,0.0287810049362127,0.0244457345683496,0.0232612002459933,0.1500008221496628,10.0,100.0,0.5,0.0406073975752325,0.0376517027140997,0.1090163522422304,1.0,0.0403880070546737,0.0356756756756756,,
